year,st_nm,heatwave_days,median_wbt
2017,Maharashtra,42,22.584165
2017,Manipur,29,16.577343
2017,Meghalaya,29,17.65223
2017,Mizoram,41,18.65973
2017,NCT of Delhi,30,24.141598000000002
2017,Nagaland,29,16.586164
2017,Odisha,44,22.759555
2017,Puducherry,34,20.3140335
2017,Punjab,26,23.711940499999997
2017,Rajasthan,34,24.1300925
2017,Sikkim,23,5.5880356
2017,Tamil Nadu,48,21.9041335
2017,Telangana,43,23.701378
2017,Tripura,25,20.826712
2017,Uttar Pradesh,38,23.761020000000002
2017,Uttarakhand,20,13.2929485
2017,West Bengal,31,21.844055
2018,Andaman & Nicobar Island,24,16.8769315
2018,Andhra Pradesh,33,22.663713
2018,Arunanchal Pradesh,28,12.3646045
2018,Assam,26,20.325476000000002
2018,Bihar,35,23.35692
2018,Chandigarh,23,22.598036
2018,Chhattisgarh,34,22.786269500000003
2018,Dadara & Nagar Havelli,36,21.352311999999998
2018,Goa,48,19.917354500000002
2018,Gujarat,51,23.911655
2018,Haryana,26,24.420656
2018,Himachal Pradesh,31,11.2377
2018,Jammu & Kashmir,33,9.999855
2018,Jharkhand,29,22.491974
2018,Karnataka,31,20.698988
2018,Kerala,31,19.117332
2018,Madhya Pradesh,52,23.060239
2018,Maharashtra,40,22.951819
2018,Manipur,17,16.661144
2018,Meghalaya,21,18.135344
2018,Mizoram,12,18.3587985
2018,NCT of Delhi,26,24.334347
2018,Nagaland,31,16.262243
2018,Odisha,15,22.460274
2018,Puducherry,10,20.077468500000002
2018,Punjab,23,24.282333
2018,Rajasthan,42,24.340166
2018,Sikkim,16,5.318830999999999
2018,Tamil Nadu,16,21.70335
2018,Telangana,41,23.800905
2018,Tripura,17,21.14022
2018,Uttar Pradesh,43,23.721262
2018,Uttarakhand,21,13.17675
2018,West Bengal,13,21.41869
2019,Andaman & Nicobar Island,53,17.076456
2019,Andhra Pradesh,59,23.202375
2019,Arunanchal Pradesh,35,12.248132
2019,Assam,42,20.33154
2019,Bihar,58,23.7580855
2019,Chandigarh,28,23.0342335
2019,Chhattisgarh,53,23.581614
2019,Dadara & Nagar Havelli,17,21.62991
2019,Goa,30,19.840957
2019,Gujarat,33,24.06016
2019,Haryana,33,24.87238
2019,Himachal Pradesh,26,11.553064500000001
2019,Jammu & Kashmir,19,10.020717
2019,Jharkhand,57,23.17558
2019,Karnataka,60,20.856096
2019,Kerala,44,19.587843499999998
2019,Madhya Pradesh,42,23.486894
2019,Maharashtra,51,22.989405
2019,Manipur,52,16.870449
2019,Meghalaya,39,17.993353
2019,Mizoram,54,19.219790500000002
2019,NCT of Delhi,35,24.730295
2019,Nagaland,39,16.743725
2019,Odisha,42,22.990879999999997
2019,Puducherry,58,20.402921499999998
2019,Punjab,30,24.457082
2019,Rajasthan,30,24.8133905
2019,Sikkim,45,5.523485
2019,Tamil Nadu,64,22.029894
2019,Telangana,61,23.94158
2019,Tripura,51,21.63119
2019,Uttar Pradesh,41,23.95943
2019,Uttarakhand,45,13.14577
2019,West Bengal,46,22.2372105
2020,Andaman & Nicobar Island,45,17.100801
2020,Andhra Pradesh,22,22.620397
2020,Arunanchal Pradesh,21,12.076018
2020,Assam,27,20.435373
2020,Bihar,8,22.9544085
2020,Chandigarh,33,22.47907
2020,Chhattisgarh,9,24.375889
2020,Dadara & Nagar Havelli,47,21.541168
2020,Goa,62,19.877975499999998
2020,Gujarat,37,23.609274
2020,Haryana,32,23.993228000000002
2020,Himachal Pradesh,15,11.197804
2020,Jammu & Kashmir,30,9.95983225
2020,Jharkhand,8,22.448377
2020,Karnataka,44,20.668304499999998
2020,Kerala,56,19.42353
2020,Madhya Pradesh,28,22.666158
2020,Maharashtra,43,22.47703
2020,Manipur,31,16.626474
2020,Meghalaya,26,17.783536
2020,Mizoram,21,18.512917
2020,NCT of Delhi,23,24.39756
2020,Nagaland,29,16.480732
2020,Odisha,5,23.297813
2020,Puducherry,25,20.441383
2020,Punjab,31,23.833387
2020,Rajasthan,35,24.41785
2020,Sikkim,20,5.632448500000001
2020,Tamil Nadu,28,21.937089
2020,Telangana,23,23.880312
2020,Tripura,31,20.901957
2020,Uttar Pradesh,14,23.255728
2020,Uttarakhand,11,13.35903
2020,West Bengal,8,21.337833500000002
2021,Andaman & Nicobar Island,30,17.010725
2021,Andhra Pradesh,9,22.344227
2021,Arunanchal Pradesh,44,11.986070250000001
2021,Assam,49,20.370754
2021,Bihar,9,22.621546
2021,Chandigarh,21,22.939178
2021,Chhattisgarh,4,22.468936
2021,Dadara & Nagar Havelli,27,21.748735
2021,Goa,22,20.1463335
2021,Gujarat,22,22.916847
2021,Haryana,27,23.998098
2021,Himachal Pradesh,19,11.248393
2021,Jammu & Kashmir,23,10.113731
2021,Jharkhand,8,21.7766255
2021,Karnataka,7,20.370478
2021,Kerala,21,19.475594
2021,Madhya Pradesh,8,22.066415
2021,Maharashtra,10,21.6619045
2021,Manipur,46,16.6083235
2021,Meghalaya,32,18.174529999999997
2021,Mizoram,49,18.856579
2021,NCT of Delhi,24,24.003656
2021,Nagaland,50,16.4834035
2021,Odisha,7,22.006071
2021,Puducherry,14,20.108610499999998
2021,Punjab,25,24.20482
2021,Rajasthan,18,23.847789
2021,Sikkim,26,5.6453146499999995
2021,Tamil Nadu,8,21.7800525
2021,Tripura,48,21.2150375
2021,Uttar Pradesh,10,23.496966999999998
2021,Uttarakhand,18,12.65055825
2021,West Bengal,22,21.791150000000002
2022,Andaman & Nicobar Island,24,16.914465
2022,Andhra Pradesh,25,22.689548
2022,Arunanchal Pradesh,43,12.3745
2022,Assam,41,20.535795
2022,Bihar,41,22.864508
2022,Chandigarh,45,22.377699
2022,Chhattisgarh,56,23.1308945
2022,Dadara & Nagar Havelli,26,21.579479
2022,Goa,22,20.279117499999998
2022,Gujarat,48,23.4910275
2022,Haryana,46,24.084373
2022,Himachal Pradesh,33,11.027535
2022,Jammu & Kashmir,20,9.6408945
2022,Jharkhand,54,22.77679
2022,Karnataka,24,20.3997885
2022,Kerala,11,19.472939
