,state_ut,year,deaths,heatwave_days,median_wbt
513,Uttar Pradesh,2018,176,43,23.721262
514,Uttarakhand,2018,0,21,13.17675
515,West Bengal,2018,46,13,21.41869
516,Chandigarh,2018,0,23,22.598036
517,Jammu & Kashmir,2018,0,33,9.999855
518,Puducherry,2018,0,10,20.0774685
519,Andhra Pradesh,2019,284,59,23.202375
520,Assam,2019,3,42,20.33154
521,Bihar,2019,215,58,23.7580855
522,Chhattisgarh,2019,16,53,23.581614
523,Goa,2019,0,30,19.840957
524,Gujarat,2019,27,33,24.06016
525,Haryana,2019,46,33,24.87238
526,Himachal Pradesh,2019,0,26,11.5530645
527,Jharkhand,2019,88,57,23.17558
528,Karnataka,2019,4,60,20.856096
529,Kerala,2019,3,44,19.5878435
530,Madhya Pradesh,2019,33,42,23.486894
531,Maharashtra,2019,159,51,22.989405
532,Manipur,2019,0,52,16.870449
533,Meghalaya,2019,0,39,17.993353
534,Mizoram,2019,0,54,19.2197905
535,Nagaland,2019,0,39,16.743725
536,Odisha,2019,84,42,22.99088
537,Punjab,2019,90,30,24.457082
538,Rajasthan,2019,54,30,24.8133905
539,Sikkim,2019,1,45,5.523485
540,Tamil Nadu,2019,0,64,22.029894
541,Tripura,2019,1,51,21.63119
542,Uttar Pradesh,2019,117,41,23.95943
543,Uttarakhand,2019,0,45,13.14577
544,West Bengal,2019,49,46,22.2372105
545,Chandigarh,2019,0,28,23.0342335
546,Jammu & Kashmir,2019,0,19,10.020717
547,Puducherry,2019,0,58,20.4029215
548,Andhra Pradesh,2020,148,22,22.620397
549,Assam,2020,0,27,20.435373
550,Bihar,2020,53,8,22.9544085
551,Chhattisgarh,2020,3,9,24.375889
552,Goa,2020,0,62,19.8779755
553,Gujarat,2020,12,37,23.609274
554,Haryana,2020,23,32,23.993228
555,Himachal Pradesh,2020,0,15,11.197804
556,Jharkhand,2020,23,8,22.448377
557,Karnataka,2020,1,44,20.6683045
558,Kerala,2020,0,56,19.42353
559,Madhya Pradesh,2020,7,28,22.666158
560,Maharashtra,2020,56,43,22.47703
561,Manipur,2020,0,31,16.626474
562,Meghalaya,2020,0,26,17.783536
563,Mizoram,2020,0,21,18.512917
564,Nagaland,2020,0,29,16.480732
565,Odisha,2020,13,5,23.297813
566,Punjab,2020,110,31,23.833387
567,Rajasthan,2020,23,35,24.41785
568,Sikkim,2020,0,20,5.632448500000001
569,Tamil Nadu,2020,0,28,21.937089
570,Tripura,2020,2,31,20.901957
571,Uttar Pradesh,2020,50,14,23.255728
572,Uttarakhand,2020,0,11,13.35903
573,West Bengal,2020,6,8,21.3378335
574,Chandigarh,2020,0,33,22.47907
575,Jammu & Kashmir,2020,0,30,9.95983225
576,Puducherry,2020,0,25,20.441383
577,Andhra Pradesh,2021,65,9,22.344227
578,Assam,2021,0,49,20.370754
579,Bihar,2021,57,9,22.621546
580,Chhattisgarh,2021,2,4,22.468936
581,Goa,2021,0,22,20.1463335
582,Gujarat,2021,8,22,22.916847
583,Haryana,2021,14,27,23.998098
584,Himachal Pradesh,2021,1,19,11.248393
585,Jharkhand,2021,33,8,21.7766255
586,Karnataka,2021,0,7,20.370478
587,Kerala,2021,0,21,19.475594
588,Madhya Pradesh,2021,2,8,22.066415
589,Maharashtra,2021,37,10,21.6619045
590,Manipur,2021,0,46,16.6083235
591,Meghalaya,2021,0,32,18.17453
592,Mizoram,2021,0,49,18.856579
593,Nagaland,2021,0,50,16.4834035
594,Odisha,2021,15,7,22.006071
595,Punjab,2021,91,25,24.20482
596,Rajasthan,2021,1,18,23.847789
597,Sikkim,2021,0,26,5.64531465
598,Tamil Nadu,2021,2,8,21.7800525
599,Tripura,2021,0,48,21.2150375
600,Uttar Pradesh,2021,35,10,23.496967
601,Uttarakhand,2021,0,18,12.65055825
602,West Bengal,2021,11,22,21.79115
603,Chandigarh,2021,0,21,22.939178
604,Jammu & Kashmir,2021,0,23,10.113731
605,Puducherry,2021,0,14,20.1086105
606,Andhra Pradesh,2022,109,25,22.689548
607,Assam,2022,1,41,20.535795
608,Bihar,2022,78,41,22.864508
609,Chhattisgarh,2022,11,56,23.1308945
610,Goa,2022,0,22,20.2791175
611,Gujarat,2022,5,48,23.4910275
612,Haryana,2022,27,46,24.084373
613,Himachal Pradesh,2022,0,33,11.027535
614,Jharkhand,2022,47,54,22.77679
615,Karnataka,2022,2,24,20.3997885
616,Kerala,2022,0,11,19.472939
617,Madhya Pradesh,2022,27,48,22.849481500000003
618,Maharashtra,2022,90,54,22.189542
619,Manipur,2022,0,33,16.899338
620,Meghalaya,2022,0,41,17.850222
621,Mizoram,2022,0,32,18.5555485
